GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brandenburg,Manufacture of coke and refined petroleum products  Wages and Salaries - million euro,,,,,,,,,,,
Brandenburg,Manufacture of other transport equipment  Wages and Salaries - million euro,209,214.8,298.5,301.4,342.6,369,401.9,427.4,440.7,,
Brandenburg,"Electricity, gas, steam and air conditioning supply  Wages and Salaries - million euro",,,,,,,,,,,
Brandenburg,"Water supply; sewerage, waste management and remediation activities  Wages and Salaries - million euro",,,,,,,,,,,
Brandenburg,"Water collection, treatment and supply  Wages and Salaries - million euro",,,,,,,,,,,
Brandenburg,Sewerage  Wages and Salaries - million euro,,,,,,,,,,,
Brandenburg,"Waste collection, treatment and disposal activities; materials recovery  Wages and Salaries - million euro",,,,,,,,,,,
Brandenburg,Remediation activities and other waste management services  Wages and Salaries - million euro,,,,,,,,,,,
Brandenburg,Water transport  Wages and Salaries - million euro,4.6,5,7.3,7.2,7,,7.2,,6.3,,
Brandenburg,Air transport  Wages and Salaries - million euro,35.4,36,40.4,42,47,,25.2,,,,
Brandenburg,Manufacturing  Wages and Salaries - million euro,2556.2,,,,3628.9,3667,3769.2,3888.8,4009.9,4182.5,4372.7
Brandenburg,Wholesale and retail trade; repair of motor vehicles and motorcycles  Wages and Salaries - million euro,2327.2,2729.7,2723.6,2989.8,3050,1573,1723.9,1897,1959,2126.3,2174.8
Brandenburg,Construction  Wages and Salaries - million euro,601.9,1092.7,1119.4,1186.1,1255.9,1273.5,1373.7,1448.8,1520.3,1569.6,1651.4
Brandenburg,Administrative and support service activities  Wages and Salaries - million euro,635.1,603.5,699.4,749.6,889.1,880.1,1006.8,1151.9,1266.9,1320.8,1408.4
Brandenburg,Transportation and storage  Wages and Salaries - million euro,672.9,674.8,717.1,681.4,712.1,729.4,817.7,863.7,1127.6,1281.5,1244.8
Brandenburg,"Retail trade, except of motor vehicles and motorcycles  Wages and Salaries - million euro",1210.5,1351,1334.1,1452.2,1473.2,777,864.1,953.6,965.9,1065.7,1120.2
Brandenburg,"Professional, scientific and technical activities  Wages and Salaries - million euro",484.7,563,563.6,570.6,587.4,597.2,716.9,741.2,955.5,1068.1,1082.4
Brandenburg,Specialised construction activities  Wages and Salaries - million euro,111.6,622.5,642.9,665.1,729.3,736.6,813.2,860.2,926.8,959.7,1005.7
Brandenburg,"Wholesale trade, except of motor vehicles and motorcycles  Wages and Salaries - million euro",633.6,837.6,849.7,934.9,979.7,447.4,476.1,478.1,492.6,550.1,565.9
Brandenburg,Warehousing and support activities for transportation  Wages and Salaries - million euro,251,278.8,282.7,233.7,248.5,267.2,340.4,335.1,,642.2,547.5
Brandenburg,Land transport and transport via pipelines  Wages and Salaries - million euro,330,307.3,331.8,342.7,357.1,367.1,392.3,433.1,473.8,499.8,546.3
Brandenburg,Services to buildings and landscape activities  Wages and Salaries - million euro,205.2,225.5,280.7,294.6,316.4,325.4,344.2,389.3,418.6,446.6,495.7
Brandenburg,Accommodation and food service activities  Wages and Salaries - million euro,350.3,493.3,480.2,479.7,511.1,489.3,547.4,606.7,430.6,436.3,495.1
Brandenburg,Wholesale and retail trade and repair of motor vehicles and motorcycles  Wages and Salaries - million euro,483.1,541.1,539.8,602.7,597.1,348.7,383.6,465.4,500.5,510.5,488.7
Brandenburg,Architectural and engineering activities; technical testing and analysis  Wages and Salaries - million euro,236.9,287.2,304.4,308.2,310,318.6,321.4,324.4,446.4,473.4,487.8
Brandenburg,Information and communication  Wages and Salaries - million euro,201.7,205.2,239.9,249.1,238.9,268.8,349.1,325,382.9,396.1,451.8
Brandenburg,"Office administrative, office support and other business support activities  Wages and Salaries - million euro",207.4,171.4,178.5,182.3,247.8,245.6,295.1,321.7,369.4,401.6,414.9
Brandenburg,Retail sale in non-specialised stores  Wages and Salaries - million euro,472,561.6,532.7,566.2,615.6,283.5,285.1,330.3,340.9,383.6,412.3
Brandenburg,Repair and installation of machinery and equipment  Wages and Salaries - million euro,267.1,277.4,345.5,378.7,406.7,406.4,413.5,407.5,393.2,402.7,399.9
Brandenburg,"Manufacture of fabricated metal products, except machinery and equipment  Wages and Salaries - million euro",217.2,210.4,268.8,298.1,306.7,304,314.2,324.6,344.7,357.9,379.6
Brandenburg,"Manufacture of motor vehicles, trailers and semi-trailers  Wages and Salaries - million euro",,189.8,239.1,259.6,277.1,278.8,286.7,310.2,326.5,359.9,375.2
Brandenburg,Civil engineering  Wages and Salaries - million euro,179.8,259.4,262.1,293.3,294.9,296.6,307.7,320,323.7,339.4,364.1
Brandenburg,Manufacture of food products  Wages and Salaries - million euro,200.5,212.7,267.3,275.6,274.7,283.3,298.6,311.9,330.7,342.9,354.2
Brandenburg,Food and beverage service activities  Wages and Salaries - million euro,215.8,315.5,299.2,296.5,312,297.2,341.4,385,250.8,267.8,327.4
Brandenburg,Manufacture of basic metals  Wages and Salaries - million euro,200.2,179.9,222.8,251.8,256.6,260.1,278.9,291.7,295,305.7,317.1
Brandenburg,Manufacture of rubber and plastic products  Wages and Salaries - million euro,149.3,147.4,187.2,201.2,222.2,236.6,253.3,258.4,265.4,282.1,309.2
Brandenburg,Construction of buildings  Wages and Salaries - million euro,310.6,210.8,214.4,227.6,231.6,240.3,252.8,268.6,269.8,270.5,281.6
Brandenburg,Sale of motor vehicles  Wages and Salaries - million euro,325.3,352.6,335.9,388.3,375.8,218,255.9,285.9,285.1,327.7,274.3
Brandenburg,Manufacture of machinery and equipment n.e.c.  Wages and Salaries - million euro,192.7,174.5,213.3,231.6,246.8,243.9,245.1,237.9,243.2,263.6,264.2
Brandenburg,Retail sale of other goods in specialised stores  Wages and Salaries - million euro,326.2,351.5,348.8,364.9,331.7,188.3,235.9,252.5,257.9,266.1,263.5
Brandenburg,Manufacture of chemicals and chemical products  Wages and Salaries - million euro,159.5,149.4,191.3,188.9,196.4,200.3,217.4,224.6,222.1,231,244.3
Brandenburg,Real estate activities  Wages and Salaries - million euro,118,115.2,172.6,166.1,167.6,174.2,233.6,218.5,227.7,234.4,243.6
Brandenburg,Mining and quarrying  Wages and Salaries - million euro,170.7,,,,207,212.2,212.7,227.6,234.5,229.3,230.8
Brandenburg,Employment activities  Wages and Salaries - million euro,136.2,115.8,138.1,181.8,197.3,182.9,221.8,253.9,236.7,241.2,220.9
Brandenburg,Manufacture of other non-metallic mineral products  Wages and Salaries - million euro,123.2,125.3,143.2,162.3,170.2,173.4,183.6,184.1,189.8,197,211.4
Brandenburg,Activities of head offices; management consultancy activities  Wages and Salaries - million euro,86.7,92.7,72.2,70.2,77.3,67,86.9,101.7,153,213.8,208.1
Brandenburg,"Computer programming, consultancy and related activities  Wages and Salaries - million euro",72,79.8,92.1,98.2,103,106.6,146.4,125.6,154.1,174.2,188.1
Brandenburg,Manufacture of paper and paper products  Wages and Salaries - million euro,115.5,122.2,144.7,156.1,158.6,165.4,167.2,175.6,182.3,181.2,185.1
Brandenburg,Security and investigation activities  Wages and Salaries - million euro,54.7,56.8,67.2,54.9,84.6,83.7,99,140,182.3,163.9,178.1
Brandenburg,Maintenance and repair of motor vehicles  Wages and Salaries - million euro,98.9,123,137.9,140.1,151,96.5,98.1,136.7,166.3,141.6,174.7
Brandenburg,Accommodation  Wages and Salaries - million euro,134.4,177.8,181,183.1,199,192,205.9,221.7,179.9,168.5,167.7
Brandenburg,Legal and accounting activities  Wages and Salaries - million euro,89.1,94.9,99.7,97.2,102.2,109,114.9,125.4,151.8,164.5,161.3
Brandenburg,Wholesale of household goods  Wages and Salaries - million euro,144.8,192.8,195.6,213.9,212.5,124.9,125.4,112.6,123.1,149.9,150.1
Brandenburg,Other specialised wholesale  Wages and Salaries - million euro,181.6,228.6,236,265.3,279.1,140.5,137.3,134.2,143.1,149.8,146.2
Brandenburg,Manufacture of electrical equipment  Wages and Salaries - million euro,202.7,100.1,125.7,116.9,111.9,122.9,122.3,123,129,139.5,140.7
Brandenburg,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials  Wages and Salaries - million euro",93.8,83.1,107.3,112,110.6,116,117.3,118,127.1,131.2,140.1
Brandenburg,"Manufacture of computer, electronic and optical products  Wages and Salaries - million euro",76,100.2,141.9,215.1,214.1,147.5,107.9,112.6,119.4,129.3,139.6
Brandenburg,Retail sale of other household equipment in specialised stores  Wages and Salaries - million euro,221.3,228.2,229.1,263.3,257.6,114,125.3,127.1,126.8,138.7,135.5
Brandenburg,Scientific research and development  Wages and Salaries - million euro,32,37.3,40.3,45.2,45.6,46,135.8,124.7,121.6,124.7,135
Brandenburg,"Wholesale of other machinery, equipment and supplies  Wages and Salaries - million euro",60.8,89.3,110,115.3,114.9,74.9,86.5,89.6,89.9,107.4,129.1
Brandenburg,Postal and courier activities  Wages and Salaries - million euro,51.8,47.6,55,55.7,52.5,58.1,52.6,59,91.9,100.6,106.7
Brandenburg,"Motion picture, video and television programme production, sound recording and music publishing activities  Wages and Salaries - million euro",21.8,14.3,39.2,50.1,25.7,14.1,87.5,80.3,81.8,95,104.1
Brandenburg,"Retail trade not in stores, stalls or markets  Wages and Salaries - million euro",25.2,22.9,27.9,54.5,51.7,45.8,51.1,56.4,57,81.7,102.6
Brandenburg,Other manufacturing  Wages and Salaries - million euro,56.8,58.8,76.5,82.9,75.3,83.9,82.7,85.6,87,88,96.5
Brandenburg,Manufacture of basic pharmaceutical products and pharmaceutical preparations  Wages and Salaries - million euro,26.5,29.6,40.6,42.1,49.8,54.6,,,71.1,75.8,81.5
Brandenburg,Rental and leasing activities  Wages and Salaries - million euro,21.8,21.8,22.8,25.5,31.2,31.3,32.7,32.2,42.2,48,78.2
Brandenburg,Retail sale of information and communication equipment in specialised stores  Wages and Salaries - million euro,53.2,53.3,57.2,64.4,71.5,59.5,80,86.3,75.3,72.5,74.8
Brandenburg,Information service activities  Wages and Salaries - million euro,24.6,26,30.2,26.8,27.6,39.9,47.4,50,54.9,61.5,73.2
Brandenburg,"Retail sale of food, beverages and tobacco in specialised stores  Wages and Salaries - million euro",46.7,51.2,54.1,52.1,59.2,37.2,35.9,37.5,38.6,49,70.9
Brandenburg,"Wholesale of food, beverages and tobacco  Wages and Salaries - million euro",136.4,156.8,165.6,174.4,200.4,56.3,61.6,69.6,66,67.2,67.6
Brandenburg,Manufacture of beverages  Wages and Salaries - million euro,34.9,32.6,39.7,40.6,42.5,43.9,44.4,49.2,53.4,53.7,56.2
Brandenburg,Telecommunications  Wages and Salaries - million euro,8.2,10.5,6.3,4.8,10,50.3,7.2,8.9,38.6,10.7,49.2
Brandenburg,Manufacture of furniture  Wages and Salaries - million euro,30.2,25.1,27.7,29.7,30.4,33.7,35.1,35.8,39.2,44.8,44.5
Brandenburg,"Other professional, scientific and technical activities  Wages and Salaries - million euro",14,20.8,17.4,21.2,23.3,25.2,23.5,28.7,29.2,34.7,39.6
Brandenburg,Printing and reproduction of recorded media  Wages and Salaries - million euro,18.6,20.9,23.6,24.8,29.4,32.5,32.7,27.8,32.7,31.4,35.2
Brandenburg,Publishing activities  Wages and Salaries - million euro,72.2,72,69.1,66.6,70,54.8,57.1,56.9,49.6,50.8,33.2
Brandenburg,Retail sale of cultural and recreation goods in specialised stores  Wages and Salaries - million euro,34,38.6,40.1,41.2,42.1,22.6,22,27.4,31.1,38.2,31.9
Brandenburg,Wholesale of information and communication equipment  Wages and Salaries - million euro,18.9,20.3,26.7,35,28.8,10.5,17.6,18.4,22.1,26.8,31.1
Brandenburg,Sale of motor vehicle parts and accessories  Wages and Salaries - million euro,53.6,60.6,61.1,69.5,65.8,30.8,25.2,37.6,43.3,33.1,28.5
Brandenburg,Advertising and market research  Wages and Salaries - million euro,18.5,21.4,20.6,18.2,18,19.4,20.7,20.6,34.4,37.7,28.4
Brandenburg,Retail sale of automotive fuel in specialised stores  Wages and Salaries - million euro,26.4,37.4,39.5,39.9,38.6,22.9,25.3,32.9,34.7,31.9,24.2
Brandenburg,Veterinary activities  Wages and Salaries - million euro,7.4,8.5,9.2,10.3,10.9,12,13.7,15.6,19.1,19.3,22.3
Brandenburg,Wholesale of agricultural raw materials and live animals  Wages and Salaries - million euro,29.1,34.4,37.3,39.3,41.7,15.1,24.1,31.7,24.7,23,22.2
Brandenburg,"Travel agency, tour operator and other reservation service and related activities  Wages and Salaries - million euro",9.8,12.2,12.1,10.4,11.7,11.2,14.1,14.7,17.7,19.5,20.6
Brandenburg,Other mining and quarrying  Wages and Salaries - million euro,14.4,,,16.1,14.1,13.8,14.7,15,16,18.4,20.1
Brandenburg,Wholesale on a fee or contract basis  Wages and Salaries - million euro,27,62.9,38.5,46.8,48,14.7,15.1,12,14.1,17.5,15.8
Brandenburg,"Sale, maintenance and repair of motorcycles and related parts and accessories  Wages and Salaries - million euro",5.4,5,4.9,4.7,4.4,3.4,4.5,5.2,5.8,8.1,11.2
Brandenburg,Repair of computers and personal and household goods  Wages and Salaries - million euro,8.6,6.6,10.2,9.4,9.5,9.4,10.6,11.2,17.1,18.4,10.9
Brandenburg,Manufacture of leather and related products  Wages and Salaries - million euro,6.1,,8.8,9.5,10.6,10.5,10.4,11.1,10.3,9.9,9.4
Brandenburg,Retail sale via stalls and markets  Wages and Salaries - million euro,5.6,6.3,4.7,5.8,5.4,3.3,3.5,3.2,3.7,4.2,4.6
Brandenburg,Programming and broadcasting activities  Wages and Salaries - million euro,2.9,2.6,3,2.6,2.8,3,3.4,3.3,4,3.8,4
Brandenburg,Non-specialised wholesale trade  Wages and Salaries - million euro,35.1,52.4,40,45,54.3,10.4,8.7,9.9,9.5,8.5,3.6
Brandenburg,Mining of metal ores  Wages and Salaries - million euro,0,0,0,0,0,0,0,0,0,0,0
Brandenburg,Manufacture of wearing apparel  Wages and Salaries - million euro,5.3,,,,,,0,0,0,0,0
Bremen,Mining and quarrying  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Mining of coal and lignite  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Extraction of crude petroleum and natural gas  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Mining of metal ores  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Other mining and quarrying  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Mining support service activities  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of food products  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of beverages  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of tobacco products  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of textiles  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of wearing apparel  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of leather and related products  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of paper and paper products  Growth rate of employment - percentage,,,16.6,0,-0.4,,,,,,
Bremen,Manufacture of coke and refined petroleum products  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of basic pharmaceutical products and pharmaceutical preparations  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of basic metals  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Manufacture of furniture  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,"Electricity, gas, steam and air conditioning supply  Growth rate of employment - percentage",,,,,,,,,,,
Bremen,"Water supply; sewerage, waste management and remediation activities  Growth rate of employment - percentage",,,,,,,,,,,
Bremen,"Water collection, treatment and supply  Growth rate of employment - percentage",,,,,,,,,,,
Bremen,Sewerage  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,"Waste collection, treatment and disposal activities; materials recovery  Growth rate of employment - percentage",,,,,,,,,,,
Bremen,Remediation activities and other waste management services  Growth rate of employment - percentage,,,,,,,,,,,
Bremen,Air transport  Growth rate of employment - percentage,,-80,840,76.6,27.7,,,,,,
Bremen,Programming and broadcasting activities  Growth rate of employment - percentage,,715.6,-5.7,0.6,-2,-6.5,,,,,
Bremen,Telecommunications  Growth rate of employment - percentage,,-10.6,-3.1,36.7,-12.5,2.2,,,,,
Bremen,Postal and courier activities  Growth rate of employment - percentage,,0.8,96.2,-6.2,-9.3,-20.3,5.5,2,-4.2,-37.2,49.3
Bremen,Retail sale in non-specialised stores  Growth rate of employment - percentage,,17.6,-2,5,-3.2,-73.8,19.4,2.4,5.2,-7,48.5
Bremen,Other manufacturing  Growth rate of employment - percentage,,-80.7,14.8,2.3,-2.3,-5.7,50.7,-7.3,-13.7,28,41.9
Bremen,"Computer programming, consultancy and related activities  Growth rate of employment - percentage",,10.8,-5.2,18.4,0.7,-4.4,10.5,8.3,11.8,7.8,26.4
Bremen,Maintenance and repair of motor vehicles  Growth rate of employment - percentage,,36.3,2.5,-0.8,0,-53.9,29.6,17.9,3.1,4.5,23.4
Bremen,Retail sale of information and communication equipment in specialised stores  Growth rate of employment - percentage,,21.2,-3.1,22.4,1.9,-33.8,3.9,20,18.9,-17.2,17.8
Bremen,Information and communication  Growth rate of employment - percentage,,-29.2,3.4,3.1,-0.9,0.8,5.7,2.8,12.6,6.4,16.9
Bremen,"Wholesale of other machinery, equipment and supplies  Growth rate of employment - percentage",,25.9,6,3.7,5.4,-28.6,-15.2,3.4,19.1,-7.1,16.3
Bremen,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials  Growth rate of employment - percentage",,,-2.2,1.9,7.5,2.9,-3.1,7,-1.1,8.5,15.2
Bremen,Transportation and storage  Growth rate of employment - percentage,,-3.7,17.3,6.5,4.3,2,-5,3.2,0.9,0,12
Bremen,Warehousing and support activities for transportation  Growth rate of employment - percentage,,-1.1,14.5,13,8.5,,,,0.5,4.5,10.8
Bremen,Scientific research and development  Growth rate of employment - percentage,,0.1,4.2,-19.2,-2.2,14.8,-1.9,-4.1,19.9,-12.8,10.6
Bremen,Wholesale of household goods  Growth rate of employment - percentage,,39.6,-3.4,4.1,-9.1,-27.7,15,-3.1,-5.5,9.5,9.9
Bremen,"Manufacture of computer, electronic and optical products  Growth rate of employment - percentage",,2.4,32.4,6.8,22.3,-1.2,6.1,0.1,-4.9,60.1,9.2
Bremen,Architectural and engineering activities; technical testing and analysis  Growth rate of employment - percentage,,-5.1,19.4,34.6,-15.2,8.8,5.7,2.6,3,5.3,8.3
Bremen,"Wholesale of food, beverages and tobacco  Growth rate of employment - percentage",,15.1,3.2,7.4,6.6,53.6,22.3,-14.2,8.6,3.5,7.1
Bremen,Construction of buildings  Growth rate of employment - percentage,,-56.6,-4.5,3.7,-3.4,13.2,-4.2,-16.5,45.3,-0.6,6.8
Bremen,"Retail trade, except of motor vehicles and motorcycles  Growth rate of employment - percentage",,15.8,0.3,4.1,-1.3,-62.3,26.3,32.4,-12.3,4.4,6.3
Bremen,Wholesale and retail trade; repair of motor vehicles and motorcycles  Growth rate of employment - percentage,,22,-1.5,5.2,-1.4,-43.7,16.3,12.2,-4.4,1.6,6.2
Bremen,"Wholesale trade, except of motor vehicles and motorcycles  Growth rate of employment - percentage",,34,-3.7,8.3,-0.8,-19.5,11.1,-4.4,1.2,-1.9,6.2
Bremen,"Other professional, scientific and technical activities  Growth rate of employment - percentage",,5.2,-14.6,32.9,-14.3,-5.8,3.3,-4.8,43.5,-0.8,6.1
Bremen,Wholesale and retail trade and repair of motor vehicles and motorcycles  Growth rate of employment - percentage,,16.3,-2.5,-0.2,-3.6,-37.2,10.2,20.2,5,5.4,6
Bremen,Land transport and transport via pipelines  Growth rate of employment - percentage,,-6.5,0,-10.3,4.5,-0.2,5.5,-11,7.1,0.1,5.8
Bremen,Repair and installation of machinery and equipment  Growth rate of employment - percentage,,-42.8,78.4,8.1,8.7,0.4,4.5,-8.4,-1.7,-2.6,3.5
Bremen,Publishing activities  Growth rate of employment - percentage,,-3.7,2.3,10.9,-4.5,3.5,6.5,-6.4,-4.2,-1.8,3.2
Bremen,Printing and reproduction of recorded media  Growth rate of employment - percentage,,-10,-3.5,-4.8,3.9,2.5,3,-10.3,-14.8,13.2,2.4
Bremen,Manufacture of chemicals and chemical products  Growth rate of employment - percentage,,,1.7,-0.1,3.8,-3.4,1.2,-0.4,-5.1,-0.3,2.4
Bremen,Manufacture of other non-metallic mineral products  Growth rate of employment - percentage,,,0.7,-0.7,5.4,2.7,-16.1,0.6,0.8,0.2,2.1
Bremen,Specialised construction activities  Growth rate of employment - percentage,,1141.3,-5.1,4.7,3,-3.2,8.9,-0.9,25.9,5.4,2.1
Bremen,"Professional, scientific and technical activities  Growth rate of employment - percentage",,2.1,13.2,9.7,-4.5,7.5,-6.6,3.3,4.9,0.7,2
Bremen,Other specialised wholesale  Growth rate of employment - percentage,,38.3,-3.7,10.9,-2.5,-33,8.3,12,1.7,-13.1,1.9
Bremen,Veterinary activities  Growth rate of employment - percentage,,-0.5,-2.1,6.5,1,4.5,56.5,-33.3,12.4,6.9,1.9
Bremen,Services to buildings and landscape activities  Growth rate of employment - percentage,,30.9,-4.5,-12.5,6.9,-1.9,9.5,-0.1,-13.9,30.7,1.6
Bremen,"Office administrative, office support and other business support activities  Growth rate of employment - percentage",,15.8,-38.2,4.2,19.5,-8.3,48.7,-8.4,11,8.8,1.5
Bremen,Construction  Growth rate of employment - percentage,,109.9,-4.4,3.6,1.1,-0.3,3.6,-1.5,29.7,6.3,1.3
Bremen,Water transport  Growth rate of employment - percentage,,-27.6,-13.9,35.3,-25.2,,,,,2.4,0.9
Bremen,Repair of computers and personal and household goods  Growth rate of employment - percentage,,15.2,-21.2,32.8,14.4,-3.9,-2.9,-19.3,40.6,-21.6,0.3
Bremen,Retail sale of cultural and recreation goods in specialised stores  Growth rate of employment - percentage,,20.8,-2.1,0.3,3,-76.6,46.7,51.7,-10.1,20.2,0.1
Bremen,Wholesale of information and communication equipment  Growth rate of employment - percentage,,9,12.9,13.9,-5.8,51.9,-0.2,-5.3,-5.3,4.6,-0.1
Bremen,Activities of head offices; management consultancy activities  Growth rate of employment - percentage,,3.5,21.4,22.2,3.1,9,-5.1,5.8,4.2,4.9,-0.2
Bremen,Information service activities  Growth rate of employment - percentage,,-76,44.4,-42.3,-1.6,33.6,-7.9,-11,51.5,6.9,-0.6
Bremen,Sale of motor vehicles  Growth rate of employment - percentage,,6.2,-8.2,-3.7,-7.7,-33.3,9.7,23.4,6.7,3.4,-0.8
Bremen,"Travel agency, tour operator and other reservation service and related activities  Growth rate of employment - percentage",,-6.1,-7.1,1.3,0.2,0,-70.6,249.1,-5.8,-3.5,-1
Bremen,Manufacture of other transport equipment  Growth rate of employment - percentage,,,,,,,,,,,-1.1
Bremen,Retail sale of other goods in specialised stores  Growth rate of employment - percentage,,14.8,1.3,1.7,-5.2,-58.9,22.1,45.3,-27.7,13.5,-1.7
Bremen,"Retail sale of food, beverages and tobacco in specialised stores  Growth rate of employment - percentage",,11.8,4,-3.6,12.6,-46.4,61.9,30.2,-13.8,5.3,-2.3
Bremen,Food and beverage service activities  Growth rate of employment - percentage,,47.4,1.7,3.7,2.8,-7.2,9.6,11.5,4.7,7.8,-2.3
Bremen,Real estate activities  Growth rate of employment - percentage,,-5.8,-12.5,-1.3,-4.3,0.7,14.8,-21.6,7.4,3,-2.4
Bremen,Administrative and support service activities  Growth rate of employment - percentage,,13.9,-7.7,14.5,3.4,-3.5,8.6,2.7,-4.6,8.4,-2.5
Bremen,Manufacturing  Growth rate of employment - percentage,,-4.8,11.3,2.5,,,,,2.6,-1.6,-2.6
Bremen,Accommodation and food service activities  Growth rate of employment - percentage,,44.6,1.8,3.3,3.3,-6.8,9.9,9.3,-1.1,6,-2.6
Bremen,Security and investigation activities  Growth rate of employment - percentage,,-15.6,12.6,-4.1,5.4,27.1,0.5,3.5,-22.3,22,-2.6
Bremen,"Manufacture of motor vehicles, trailers and semi-trailers  Growth rate of employment - percentage",,,,,,,,,,,-2.8
Bremen,Manufacture of machinery and equipment n.e.c.  Growth rate of employment - percentage,,-0.1,1,4.1,24,-17.3,14.5,1.4,4.5,2.1,-3.1
Bremen,Wholesale on a fee or contract basis  Growth rate of employment - percentage,,89.7,-21.5,3.5,4.7,-40.2,58.7,-40.2,-49.5,12.7,-3.2
Bremen,"Motion picture, video and television programme production, sound recording and music publishing activities  Growth rate of employment - percentage",,-30.7,-3.6,-1.6,1.5,-11.7,1.9,6.8,-1.5,16.7,-3.2
Bremen,Advertising and market research  Growth rate of employment - percentage,,9.1,75.9,-3.4,-3.2,18.7,-56.3,30.5,-9.3,-6.2,-3.2
Bremen,Legal and accounting activities  Growth rate of employment - percentage,,3.8,-1.9,-1,-1.6,0.9,2.6,1.1,0.7,-0.5,-3.6
Bremen,"Retail trade not in stores, stalls or markets  Growth rate of employment - percentage",,2.6,37.2,18.4,25.1,-26.1,37.5,71,-4.9,8.4,-4.4
Bremen,Accommodation  Growth rate of employment - percentage,,33.4,2.1,2,5.6,-5.4,11.4,0.2,-27.3,-5.3,-4.7
Bremen,Sale of motor vehicle parts and accessories  Growth rate of employment - percentage,,8.9,1.5,9.7,-2,-19.8,0.8,17,2.9,12.5,-5.6
Bremen,Retail sale via stalls and markets  Growth rate of employment - percentage,,8.5,-7.8,-11.9,-9.6,497.9,-44.1,36.9,-1.4,-3.8,-5.9
Bremen,Employment activities  Growth rate of employment - percentage,,12.1,-4.7,50,0,-6.3,8.3,-3.1,-0.6,2.5,-6.2
Bremen,"Sale, maintenance and repair of motorcycles and related parts and accessories  Growth rate of employment - percentage",,12.5,-3.7,-1.3,-3.9,101.4,-67.1,36.7,37.3,-17.4,-6.6
Bremen,Manufacture of electrical equipment  Growth rate of employment - percentage,,46.6,-38.1,-17.7,12,86.7,-55.1,4.3,6.5,-2.9,-8
Bremen,Civil engineering  Growth rate of employment - percentage,,35.1,-0.2,-3.3,-5.7,2.8,-19.4,17.1,40.2,20.3,-8.3
Bremen,Retail sale of automotive fuel in specialised stores  Growth rate of employment - percentage,,55.7,-0.5,-2.9,-0.4,-90.6,45.5,11.5,-0.9,-49.1,-13
Bremen,Wholesale of agricultural raw materials and live animals  Growth rate of employment - percentage,,-16.6,8.6,-6.9,-7.1,-42.3,42.4,28.4,-57.4,-13,-14
Bremen,Rental and leasing activities  Growth rate of employment - percentage,,-10.3,43.6,-9.6,-15.4,-20.6,96.5,16.5,-1.6,-58.6,-15.3
Bremen,Retail sale of other household equipment in specialised stores  Growth rate of employment - percentage,,8,-1.9,15.9,-4.5,-69.5,13.5,32.3,5.1,3.1,-18.1
Bremen,"Manufacture of fabricated metal products, except machinery and equipment  Growth rate of employment - percentage",,37.7,11.2,2.5,9.9,0.5,-1.1,-7.7,-0.7,1.7,-26.6
Bremen,Non-specialised wholesale trade  Growth rate of employment - percentage,,53.2,-22,25,-4,-74.1,5.9,14.6,-23.9,-20.4,-44.5
Bremen,Manufacture of rubber and plastic products  Growth rate of employment - percentage,,,-36.7,4.6,-8.5,1.8,-8.5,2.6,-0.9,19.3,-54.6
Bremen,"Electricity, gas, steam and air conditioning supply  Local units - number",,,,,,,,,,,
Bremen,"Water supply; sewerage, waste management and remediation activities  Local units - number",,,,,,,,,,,
Bremen,"Water collection, treatment and supply  Local units - number",,,,,,,,,,,
Bremen,Sewerage  Local units - number,,,,,,,,,,,
Bremen,"Waste collection, treatment and disposal activities; materials recovery  Local units - number",,,,,,,,,,,
Bremen,Remediation activities and other waste management services  Local units - number,,,,,,,,,,,
Bremen,Wholesale and retail trade; repair of motor vehicles and motorcycles  Local units - number,,,,,,,5578,6322,5808,6049,5879
Bremen,"Professional, scientific and technical activities  Local units - number",3413,3416,3374,3463,3629,3684,4093,4008,3904,3998,3937
Bremen,"Retail trade, except of motor vehicles and motorcycles  Local units - number",,,,,,,3372,3971,3725,3813,3771
Bremen,Construction  Local units - number,111,1525,1423,1340,1291,1200,1478,1427,1883,1961,2163
