GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Baden-Wuerttemberg,"Professional, scientific and technical activities  Growth rate of employment - percentage",,1.3,5.4,8.6,-2.5,3.3,12.2,-4.3,16.8,-1.9,3.1
Baden-Wuerttemberg,Construction of buildings  Growth rate of employment - percentage,,-40.9,1.8,2,1.6,0.8,3.3,-1.3,4.1,5.4,2.9
Baden-Wuerttemberg,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials  Growth rate of employment - percentage",,-6.4,14.8,-0.3,0.7,-5.7,-1,-1.9,-0.2,1.8,2.7
Baden-Wuerttemberg,"Manufacture of computer, electronic and optical products  Growth rate of employment - percentage",,-7.8,13,2.1,0.9,0.8,-2.8,2.6,1,0,2.6
Baden-Wuerttemberg,Manufacture of electrical equipment  Growth rate of employment - percentage,,-3.7,15,4,1.8,-0.2,0,1.2,-0.3,2.2,2.6
Baden-Wuerttemberg,Manufacturing  Growth rate of employment - percentage,,-5.4,13.4,2.5,0.9,0.5,1,0.9,0.9,1.9,2.4
Baden-Wuerttemberg,Mining and quarrying  Growth rate of employment - percentage,,-0.4,20.2,-3.5,0.8,3.2,2.1,2.9,1.1,4.3,2.1
Baden-Wuerttemberg,Other mining and quarrying  Growth rate of employment - percentage,,-0.4,20.2,-3.5,0.8,3.2,2.1,2.9,1.1,4.3,2.1
Baden-Wuerttemberg,Veterinary activities  Growth rate of employment - percentage,,2,-1.3,8.2,1.7,2.7,12.4,2.7,17.4,7,2.1
Baden-Wuerttemberg,Manufacture of leather and related products  Growth rate of employment - percentage,,-16,12.1,-2.5,-5.3,-4.2,3.9,3.6,0.3,-0.5,2
Baden-Wuerttemberg,Retail sale of cultural and recreation goods in specialised stores  Growth rate of employment - percentage,,17,3.6,1.7,-2.3,-3.5,8,-3.5,5.1,-0.9,2
Baden-Wuerttemberg,"Retail trade not in stores, stalls or markets  Growth rate of employment - percentage",,11.6,15.1,5,8.5,19.2,-2.9,4.2,6.5,12.3,1.9
Baden-Wuerttemberg,Postal and courier activities  Growth rate of employment - percentage,,3.8,9,40.3,8.7,-24.5,56.8,-5.5,16.8,4.2,1.8
Baden-Wuerttemberg,Administrative and support service activities  Growth rate of employment - percentage,,-3.7,8.3,8.8,-0.2,4.3,8.8,1.4,7.5,3.5,1.8
Baden-Wuerttemberg,"Manufacture of motor vehicles, trailers and semi-trailers  Growth rate of employment - percentage",,-7.1,13.5,2.1,1.6,1.6,2.2,1.5,2.3,1.2,1.7
Baden-Wuerttemberg,Manufacture of chemicals and chemical products  Growth rate of employment - percentage,,-3.6,12.5,-0.8,-1.4,-0.4,1.1,-1.5,1.2,0.2,1.6
Baden-Wuerttemberg,Manufacture of basic pharmaceutical products and pharmaceutical preparations  Growth rate of employment - percentage,,-0.4,9.1,2.1,6.3,-4.4,0.4,1.8,2.5,2,1.3
Baden-Wuerttemberg,Manufacture of rubber and plastic products  Growth rate of employment - percentage,,-5.3,16.1,3.7,0.9,-0.8,2.9,1.3,0.9,3.3,1.3
Baden-Wuerttemberg,Manufacture of furniture  Growth rate of employment - percentage,,-4.9,15,0.9,-2.2,0.1,-2.3,1.4,-0.6,0.2,1.1
Baden-Wuerttemberg,Accommodation  Growth rate of employment - percentage,,24.1,-3.8,2.8,5.5,-4,6.7,2.8,32.9,-5.5,1.1
Baden-Wuerttemberg,Manufacture of textiles  Growth rate of employment - percentage,,-10.5,6.8,0.9,6.4,0.2,-1,-4.1,0.8,-2.3,1
Baden-Wuerttemberg,"Wholesale of other machinery, equipment and supplies  Growth rate of employment - percentage",,26.5,5.9,7.6,2.3,19.8,5.7,3.5,7,9.9,0.9
Baden-Wuerttemberg,"Motion picture, video and television programme production, sound recording and music publishing activities  Growth rate of employment - percentage",,0.3,-2.6,-7.9,10.4,2.6,12.7,14.8,-2.5,3.4,0.8
Baden-Wuerttemberg,Security and investigation activities  Growth rate of employment - percentage,,7.1,-3,12.2,5.9,0.2,25.1,10.3,13.5,0.9,0.7
Baden-Wuerttemberg,Other specialised wholesale  Growth rate of employment - percentage,,33.3,1.4,10.6,-0.1,-3,-7.7,6.6,-0.1,0.9,0.6
Baden-Wuerttemberg,Activities of head offices; management consultancy activities  Growth rate of employment - percentage,,-9.8,11.6,13.4,-6,8.1,23.3,-8.3,50.7,-23,0.6
Baden-Wuerttemberg,Water transport  Growth rate of employment - percentage,,5.2,-7,-15.8,3,-14.6,78.4,4.1,-17.4,-4.8,0.5
Baden-Wuerttemberg,Accommodation and food service activities  Growth rate of employment - percentage,,37.6,0.1,5,1.9,-3.7,11,3.9,27,-3.4,0.5
Baden-Wuerttemberg,Repair of computers and personal and household goods  Growth rate of employment - percentage,,7,3.4,-4.7,2.3,5.1,-1.5,-5.1,16.4,-12.5,0.4
Baden-Wuerttemberg,Food and beverage service activities  Growth rate of employment - percentage,,43.3,1.4,5.7,0.7,-3.6,12.5,4.2,25.1,-2.7,0.3
Baden-Wuerttemberg,Manufacture of food products  Growth rate of employment - percentage,,0.7,16.8,3.3,0.6,-0.6,-0.6,0.9,2.3,2.1,0.2
Baden-Wuerttemberg,Scientific research and development  Growth rate of employment - percentage,,0.1,4.3,23.7,-4.9,-10.3,36.9,-8.7,13,6.7,0.2
Baden-Wuerttemberg,"Wholesale trade, except of motor vehicles and motorcycles  Growth rate of employment - percentage",,34.9,-3.2,9.3,-1.8,11,0,-2.2,3.8,4.6,0
Baden-Wuerttemberg,Programming and broadcasting activities  Growth rate of employment - percentage,,-2.4,0.1,-3.6,0.5,-0.5,-1.3,-2.1,5.5,-2.4,-0.1
Baden-Wuerttemberg,Repair and installation of machinery and equipment  Growth rate of employment - percentage,,-8.7,11.5,3.8,-8.3,1.7,0.5,-3.8,6,0.3,-0.2
Baden-Wuerttemberg,"Travel agency, tour operator and other reservation service and related activities  Growth rate of employment - percentage",,-2.9,0.2,-17,-0.2,-2.4,37.5,8.1,1,0.3,-0.2
Baden-Wuerttemberg,Manufacture of other non-metallic mineral products  Growth rate of employment - percentage,,-4.3,12,1.2,-0.2,-0.3,0.5,-0.8,-0.4,3,-0.6
Baden-Wuerttemberg,Wholesale and retail trade; repair of motor vehicles and motorcycles  Growth rate of employment - percentage,,22.1,-0.7,6.1,-1.6,8.1,4.2,14,-7.9,0.8,-1
Baden-Wuerttemberg,"Sale, maintenance and repair of motorcycles and related parts and accessories  Growth rate of employment - percentage",,19.1,-14.2,10.4,-2.5,0.3,29.7,15.5,3.9,-2.7,-1.2
Baden-Wuerttemberg,"Retail trade, except of motor vehicles and motorcycles  Growth rate of employment - percentage",,15.8,0.6,4.9,-1.7,4.8,7.2,26.5,-16.5,-1.6,-1.2
Baden-Wuerttemberg,Sale of motor vehicles  Growth rate of employment - percentage,,15.5,-6.3,7.2,-2.1,29.3,8.6,0.8,13.7,0.3,-1.7
Baden-Wuerttemberg,Wholesale of household goods  Growth rate of employment - percentage,,39.3,-7,9.8,-10,29.1,-0.4,-12.9,2,6.5,-1.7
Baden-Wuerttemberg,Retail sale in non-specialised stores  Growth rate of employment - percentage,,23.5,-0.7,4.1,-0.8,9.8,3.2,46.8,-31.8,-2.5,-1.9
Baden-Wuerttemberg,Manufacture of paper and paper products  Growth rate of employment - percentage,,-4.3,13.9,0.5,-7.3,-0.9,-0.2,-0.9,-0.9,1.3,-2
Baden-Wuerttemberg,Printing and reproduction of recorded media  Growth rate of employment - percentage,,-7.9,8.6,-5.9,-3.6,-3.3,-4.3,-5,-4.7,-3.6,-2.2
Baden-Wuerttemberg,Advertising and market research  Growth rate of employment - percentage,,-6.5,10.2,-0.9,-9,-7.7,9.1,-21,-3.6,4.4,-2.6
Baden-Wuerttemberg,Wholesale and retail trade and repair of motor vehicles and motorcycles  Growth rate of employment - percentage,,20.7,0.3,3.5,-1,15,2.6,1.2,9.5,1.8,-2.7
Baden-Wuerttemberg,Manufacture of beverages  Growth rate of employment - percentage,,-3.2,6.5,-1.4,-0.3,0.8,6.1,1.9,1.1,-0.9,-3.2
Baden-Wuerttemberg,Retail sale of other household equipment in specialised stores  Growth rate of employment - percentage,,11.4,-1.3,11.6,-3.6,-18.1,18.7,-8,-2.9,-1.8,-4.2
Baden-Wuerttemberg,Retail sale of other goods in specialised stores  Growth rate of employment - percentage,,9.5,-0.3,4,-4.5,9.2,7.4,38.2,-15.2,-5.3,-5.7
